Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-003-00091;Rollo Hilo De Algodon;Unidad;Planta;NULL;1;NULL;47,00;6,9400;NULL;326,18
001-003-00092;Rollo Fiorana Kraft;Unidad;Planta;NULL;1;NULL;11,00;7,4400;NULL;81,84
001-003-00093;Rollo Fiorana Rojo;Unidad;Planta;NULL;1;NULL;29,00;7,4400;NULL;215,76
001-003-00094;Rollo Generico Fiorana;Unidad;Planta;NULL;1;NULL;29,00;6,9700;NULL;202,13
001-003-00095;Rollo Sweet And Coffe;Unidad;Planta;NULL;1;NULL;15000,00;0,0140;NULL;210
001-003-00096;Sobres Plasticos Tizanas;Unidad;Planta;NULL;1;NULL;3500,00;0,0180;NULL;63
001-003-00097;Tea Collection Tapa Transparente;Unidad;Planta;NULL;1;NULL;4600,00;0,3010;NULL;1384,6
001-003-00098;Tea Collection Base Azul;Unidad;Planta;NULL;1;NULL;4427,00;0,3010;NULL;1332,527
001-003-00099;Tubos Acetato Para Latita X8;Unidad;Planta;NULL;1;NULL;0,00;4,5000;NULL;0
001-003-00100;Tubos Acetato Para Latita X4;Unidad;Planta;NULL;1;NULL;0,00;6,5000;NULL;0
001-003-00101;Caja Aromatica Vacia;Unidad;Planta;NULL;1;NULL;1170,00;0,1300;NULL;152,1
001-003-00102;Caja Aromatica Flores De Manzanilla;Unidad;Planta;NULL;1;NULL;974,00;0,1300;NULL;126,62
001-003-00103;Caja Aromatica Hierbabuena;Unidad;Planta;NULL;1;NULL;1077,00;0,1300;NULL;140,01
001-003-00104;Doypac Vacio;Unidad;Planta;NULL;1;NULL;246,00;0,2300;NULL;56,58
001-003-00105;Doypac Lemon Ginger;Unidad;Planta;NULL;1;NULL;1012,00;0,2300;NULL;232,76
001-003-00106;Doypac Chamomile;Unidad;Planta;NULL;1;NULL;991,00;0,2300;NULL;227,93
001-003-00107;Doypac Berry Berry;Unidad;Planta;NULL;1;NULL;4234,00;0,2300;NULL;973,82
001-003-00108;Funda Amarilla 50 Gr Matcha Culinario;Unidad;Planta;NULL;1;NULL;1500,00;0,3400;NULL;510
001-003-00109;Funda Amarilla 50 Gr Pink Matcha;Unidad;Planta;NULL;1;NULL;2056,00;0,3400;NULL;699,04
001-003-00110;Funda Amarilla 100 Gr Chai Latte Mix;Unidad;Planta;NULL;1;NULL;216,00;0,3100;NULL;66,96
001-003-00111;Funda Amarilla 100 Gr Pink Lemonade;Unidad;Planta;NULL;1;NULL;390,00;0,3100;NULL;120,9
001-003-00112;Funda Amarilla 100 Gr Te Negro Y Limon;Unidad;Planta;NULL;1;NULL;1616,00;0,3400;NULL;549,44
001-003-00113;Lata Para Matcha Colores  30gr;Unidad;Planta;NULL;1;NULL;24,00;0,0200;NULL;0,48
001-003-00114;Etiquetas Aromaticas Anis;Unidad;Planta;NULL;1;NULL;1507,00;0,0200;NULL;30,14
001-003-00115;Etiquetas Aromaticas Cedron;Unidad;Planta;NULL;1;NULL;1264,00;0,0200;NULL;25,28
001-003-00116;Etiquetas Aromaticas Flores De Manzanilla;Unidad;Planta;NULL;1;NULL;297,00;0,0200;NULL;5,94
001-003-00117;Etiquetas Aromaticas Guayusa;Unidad;Planta;NULL;1;NULL;1502,00;0,0200;NULL;30,04
001-003-00118;Etiquetas Aromaticas Hierbabuena;Unidad;Planta;NULL;1;NULL;2590,00;0,0200;NULL;51,8
001-003-00119;Etiquetas Aromaticas Hierbaluisa;Unidad;Planta;NULL;1;NULL;1638,00;0,0200;NULL;32,76
001-003-00120;Etiquetas Aromaticas Manzanilla Y Miel;Unidad;Planta;NULL;1;NULL;1294,00;0,0200;NULL;25,88
001-003-00121;Etiquetas Aromaticas Menta;Unidad;Planta;NULL;1;NULL;972,00;0,0200;NULL;19,44
001-003-00122;Etiquetas Aromaticas Toronjil;Unidad;Planta;NULL;1;NULL;1351,00;0,0200;NULL;27,02
001-003-00123;Etiquetas Doypac Chamomille;Unidad;Planta;NULL;1;NULL;413,00;0,0200;NULL;8,26
001-003-00124;Etiquetas Doypac Earl Grey;Unidad;Planta;NULL;1;NULL;290,00;0,0200;NULL;5,8
